頼む	たのむ	to request
研究室	けんきゅうしつ	[professor's] office
忘れる	わすれる	to forget
～枚	～まい	(counter for thin, flat objects such as sheets of paper)
お願い	おねがい	request
期末試験	きまつしけん	final exam (lit., semester-end exam)
～のこと		it's about ~
[期末試験を]受ける	[期末試験を]うける	to take [an exam]
仕方ない	しかたない	It can't be helped.
けっこうです		That's fine.
うかがう		(humble form of 行く and 来る)
推薦状	すいせんじょう	letter of recommendation
文部省	もんぶしょう	Ministry of Education
申し込む	もうしこむ	to apply
用紙	ようし	form
宛先	あてさき	address to send mail to
封筒	ふうとう	envelope
切手	きって	postage stamp
はる		to paste; to attach
締切	しめきり	deadline
送る	おくる	to send
申しわけありません	もうしわけありません	I am sorry. (polite)
授業	じゅぎょう	class
教室	きょうしつ	classroom
貸す	かす	to lend
熱	ねつ	fever
頭が痛い	あたまがいたい	to have a headache (lit., the head is hurting)
だいじょうぶ		all right
悪いけど	わるいけど	I am sorry, but
寄る	よる	to stop by
情報	じょうほう	information
主[な]	おも[な]	main
交換プログラム	こうかんプログラム	exchange program
利用する	りようする	to make use of
一番	いちばん	most
便利[な]	べんり[な]	convenient
そのばあい	in that case
授業料	じゅぎょうりょう	tuition
払う	はらう	to pay
数	かず	number
だいたい		approximately; in most cases; in general
普通	ふつう	common; usual
選ぶ	えらぶ	to choose
多ければ多いほど	おおければおおいほど	the more [students] there are, the more ~
書類選考	しょるいせんこう	screening by application forms; selection by examining one's papers
面接	めんせつ	interview
行う	おこなう	to carry out; to conduct (usually used in written language)
成績	せいせき	grade; academic record
性格	せいかく	character; personality
態度	たいど	attitude
目的	もくてき	purpose
はっきりする		to become clear
優先する	ゆうせんする	to give priority; to prefer
以外	いがい	other than
ほとんど～ない		hardly
助ける	たすける	to help
入学	にゅうがく	admission to school
全部	ぜんぶ	all
帰国する	きこくする	to return to one's home country
単位	たんい	credit [for a course]
認める	みとめる	to recognize; to approve
交渉する	こうしょうする	to negotiate
必ずしも～ない	かならずしも～ない	not necessarily
わけではない		it's not the case that
留学生別科	りゅうがくせいべっか	special division for foreign students
国際学部	こくさいがくぶ	International Division
そのほか		besides; in addition
文学	ぶんがく	literature
歴史	れきし	history
経済	けいざい	economics
政治	せいじ	politics
宗教	しゅうきょう	religion
しかし		however; but
サークル活動	サークルかつどう	extracurricular activities
音楽	おんがく	music
なるべく		if possible; as~as possible
べきだ		should
家庭	かてい	home; family
Vことができる		can V
希望	きぼう	wish; hope
希望者	きぼうしゃ	one who wishes to do ~ （＝希望する人）
者	もの	person (＝人）
特に	とくに	particularly
住宅事情	じゅうたくじじょう	housing conditions
悪い	わるい	bad
