写真	しゃしん picture; photograph
アメリカ史	アメリカし American history
別に	べつに not particularly
お兄さん	おにいさん [someone else's] older brother
妹	いもうと younger sister
兄	あに older brother
似る	にる to resemble
州	しゅう province
人口	じんこう population
間違う	まちがう to make a mistake
有名[な]	ゆうめい[な] famous
湖	みずうみ lake
冬	ふゆ winter
春	はる spring
秋	あき fall
週末	しゅうまつ weekend
連れる	つれる to lead
夕食	ゆうしょく dinner (lit., evening meal)
久しぶり	ひさしぶり for the first time in a long time
本当	ほんとう really; truly
手紙	てがみ letter
末	すえ end
夏	なつ summer
暑い	あつい hot (with reference to weather)
長い	ながい long
速い	はやい fast; quick
今学期	こんがっき this semester
生活	せいかつ life
役に立つ	やくにたつ to be useful
体	からだ body; health
変わる	かわる to change (v.i.)
仏教	ぶっきょう Buddhism
新聞記事	しんぶんきじ newspaper article
漢字	かんじ Chinese character
一回	いっかい per occasion
五倍	ごばい 5 times [as much]
今晩	こんばん this evening
財布	さいふ wallet
背	せい one's height
弁護士	べんごし lawyer
珍しい	めずらしい rare
全然	ぜんぜん not at all
州都	しゅうと state capital
皆さん	みなさん all of you
許可	きょか permission
求める	もとめる to request; to ask for
偶然	ぐうぜん by chance
拝啓	はいけい (formal greeting used at the beginning of a letter)
暖かい	あたたかい pleasantly warm (with reference to weather)
紅葉	こうよう fall colors [of leaves]
経つ	たつ [time] passes
面白い	おもしろい interesting
経験	けいけん experience
済む	すむ need
料理	りょうり cooking; cuisine
物	もの thing
体重	たいじゅう [body] weight
足りる	たりる to be sufficient
暇[な]	ひま[な] free time
敬具	けいぐ Sincerely (used at the end of a letter)
様	さま Dear ~ (added to the name of the addressee at the end of a letter)
