あさ	朝	morning
ごご	午後	afternoon
へんな	変な	strange
いみ	意味	meaning
さげる	下げる	to lower (v.t.)
わかる	分かる	to understand ~ （～が）
めざましどけい	目覚まし時計	alarm clock
ねむい	眠い	sleepy
こえ	声	voice
にじはん	二時半	2:30
むずかしい	難しい	difficult; challenging
たいへん	大変	tough situation
そと	外	outside
おおあめ	大雨	downpour; heavy rain
いそぐ	急ぐ	to hurry
さきに	先に	ahead [of someone]
あとで	後で	later
よしだ	吉田	(family name)
じだい	時代	era
だす	出す	to send; to mail
ぼく	僕	I (used by male speakers towards equals or someone lower in status)
にちべい	日米	Japan and the U.S. （＝日本とアメリカ）
こまる	困る	to have difficulty (with ~) （～に）
たぶん	多分	probably
かわり	代わり	instead of; on the other hand; while ~
あたる	当たる	to correspond [to ~] （～に）
あいて	相手	addressee; the person you are talking to
めうえ	目上	person of higher status; one's senior
ゆうじん	友人	friend
やくす	訳す	to translate
せつめい	説明	explanation
たとえば	例えば	for example
しょくじ	食事	meal
れい	例	example
たいして	対して	with respect to; for; in contrast
すうじつまえに	数日前に	several days ago
きまりもんく	決まり文句	set phrase
ようご	用語	terms
ほうが	方が	more than
きゃく	客	guest
こども	子供	child
おぼえる	覚える	to learn; to commit to memory; to remember
だいじな	大事な	important
しゃかい	社会	society
きょういく	教育	education
