あいさつ		greeting
ことば	言葉	word[s]; expression[s]
れい	例	example
あさ	朝	morning
おかしい		strange; odd; funny
けさ		this morning
へん（な）	変（な）	strange
えしゃくする	会釈する	to greet by bowing slightly
いみ	意味	meaning
こういうふうに		this way; in this manner
あたま	頭	head
さげる	下げる	to lower (v.t.)
おじぎ		bow
（～が）わかる	（～が）分かる	to understand ~
めざましどけい	目覚まし時計	alarm clock
なる	鳴る	to ring (v.i.)
りょう	寮	dormitory
へや	部屋	room
めをさます	目を覚ます	to wake up
どうしつ	同室	same room
ねむそう（な）	眠そう（な）	looking sleepy
こえ	声	voice
ねる	寝る	to sleep; to go to bed
それに		moreover; besides
むずかしい	難しい	difficult
なかなか～ない		not easily
おわる	終わる	to finish (v.i.)
とけい	時計	clock; watch
たいへんだ	大変だ	Oh, no!
おくれる	遅れる	to be late
～ちゃう		(contraction of てしまう)
そと	外	outside
しかも		moreover; besides
ざーざーぶり	ザーザー降り	pouring rain
おおあめ	大雨	downpour; heavy rain
すごく		(to rain) hard; terribly; tremendously
ふる	降る	to fall (e.g., rain, snow, etc.)
いそぐ	急ぐ	to hurry; to be in a hurry
さきに	先に	ahead [of someone]
またあとで	また後で	See you later.
よしだ	吉田	(family name)
（～に）であう	（～に）出会う	to run into [someone]
こうこうじだい	高校時代	high school years
どうきゅうせい	同級生	classmate
いつ～かわからない	いつ～か分からない	don't know when ~
ごめん		Sorry. (informal)
てがみをだす	手紙を出す	to send/mail a letter
２１０ごうしつ	２１０号室	Room 210
にちべい	日米	Japan and the U.S. (=日本とアメリカ)
（～に）こまる	（～に）困る	to have difficulty (with ~)
しつもん	質問	question
たぶん	多分	probably
びょうき	病気	sickness
ふつう		common; usual
しばらくぶり		for the first time in a long time
しか～ない		only; no more than
つまり		namely; in other words; in short
ひじょうに	非常に	extremely; very
そのかわりに	その代わりに	in place of that
さむい	寒い	cold (with reference to weather)
～によって		depending on ~
よい		＝いい
（～に）あたる	（～に）当たる	to correspond [to ~]
（～と）わかれる	（～と）別れる	to part [from ~]; to say farewell [to ~]
あいて	相手	addressee; the person you are talking to
めうえ	目上	person of higher status; one's senior
ゆうじん	友人	friend
やくす	訳す	to translate
せつめい	説明	explanation
かお	顔	face
へんなかおをする	変な顔をする	to look annoyed; to look puzzled
たとえば	例えば	for example
しょくじ	食事	meal
それにたいして	それに対して	in response to that
すうじつまえに	数日前に	several days ago
せんじつ	先日	the other day
きまりもんく	決まり文句	set phrase
いっぱんてき	一般的	generally
ようご	用語	terms
～のほうが・・・	~の方が・・・	~ is more ... than
きゃく	客	guest
しょくじをだす	食事を出す	to offer a meal
こども	子供	child
きまる	決まる	to be set/fixed (v.i.)
おぼえる	覚える	to learn; to commit to memory; to remember
だいじ（な）	大事（な）	important
しゃかいきょういく	社会教育	social education
